Frame,Subframe,Slot,StartSymbol,Bitmap,Timestamp(ms)
55,0,0,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450709.655029
55,0,0,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.733154
55,0,0,2,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.733154
55,0,0,3,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.733154
55,0,0,4,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.733154
55,0,0,5,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.741943
55,0,0,6,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.741943
55,0,0,7,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.741943
55,0,0,8,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.741943
55,0,0,9,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.750000
55,0,0,10,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.750000
55,0,0,11,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.750000
55,0,0,12,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.757080
55,0,0,13,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.757080
55,0,1,0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.757080
55,0,1,1,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.757080
55,0,1,2,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.765137
55,0,1,3,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.765137
55,0,1,4,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1721645450710.765137
